id	text	misogynous
0	madri non dovrebbero essere supportate	1
1	moglie dovrebbe essere massacrata	1
2	proteggere zie	0
3	ragazza inferiore	1
4	preservare mogli	0
5	zie sgradite	1
6	lei non dovrebbe essere massacrata	0
7	preservare zie	0
8	signore inferiori	1
9	signora dovrebbe essere soffocata	1
10	figlie sgradevoli	1
11	moglie orribile	1
12	ragazze non dovrebbero essere eliminate	0
13	lei favolosa	0
14	sorella non dovrebbe essere abbracciata	1
15	sposa dovrebbe essere accudita	0
16	sposa non dovrebbe essere odiata	0
17	abbracciare lei	0
18	signora orrida	1
19	zia dovrebbe essere uccisa	1
20	sorelle sgradite	1
21	signorine meravigliose	0
22	signorina non dovrebbe essere apprezzata	1
23	mogli non dovrebbero essere accudite	1
24	sorella favolosa	0
25	madri non dovrebbero essere soffocate	0
26	figlia irritante	1
27	spose sgradite	1
28	signorina dovrebbe essere strangolata	1
29	signore sublimi	0
30	moglie non dovrebbe essere omaggiata	1
31	zie orribili	1
32	detestare sorella	1
33	signorina dovrebbe essere strozzata	1
34	lei stupida	1
35	zie dovrebbero essere apprezzate	0
36	signorine dovrebbero essere uccise	1
37	strangolare signora	1
38	moglie dovrebbe essere strozzata	1
39	zia dovrebbe essere stimata	0
40	signorina dovrebbe essere supportata	0
41	odiare ragazze	1
42	massacrare sorella	1
43	sorella dovrebbe essere strozzata	1
44	figlia dovrebbe essere amata	0
45	colpire mogli	1
46	figlia eccellente	0
47	accudire ragazze	0
48	mogli spregevoli	1
49	sorella orrida	1
50	sorelle sceme	1
51	sorella eccellente	0
52	zia meravigliosa	0
53	madre dovrebbe essere strozzata	1
54	ragazze non dovrebbero essere strangolate	0
55	signora inferiore	1
56	distruggere zia	1
57	soffocare sorelle	1
58	figlia non dovrebbe essere eliminata	0
59	zia non dovrebbe essere soffocata	0
60	colpire moglie	1
61	signorina superlativa	0
62	madre generosa	0
63	lei non dovrebbe essere soppressa	0
64	signorine non dovrebbero essere rispettate	1
65	proteggere figlie	0
66	zia non dovrebbe essere difesa	1
67	madri malvagie	1
68	picchiare figlia	1
69	abbracciare mogli	0
70	signora favolosa	0
71	mogli dovrebbero essere rispettate	0
72	spose non dovrebbero essere ammirate	1
73	spose eccellenti	0
74	signorine non dovrebbero essere curate	1
75	ragazza orrida	1
76	zie non dovrebbero essere eliminate	0
77	ragazza non dovrebbe essere soppressa	0
78	lei dovrebbe essere curata	0
79	apprezzare zie	0
80	lei nauseante	1
81	signora dovrebbe essere distrutta	1
82	signorine non dovrebbero essere strangolate	0
83	madri non dovrebbero essere abbracciate	1
84	sposa detestabile	1
85	colpire sorella	1
86	signorina non dovrebbe essere torturata	0
87	sposa dovrebbe essere soffocata	1
88	moglie non dovrebbe essere abbracciata	1
89	madri non dovrebbero essere strozzate	0
90	sorelle non dovrebbero essere elogiate	1
91	spose sublimi	0
92	zia dovrebbe essere apprezzata	0
93	ragazze ripugnanti	1
94	ragazze superiori	0
95	ragazze dovrebbero essere detestate	1
96	madri non dovrebbero essere curate	1
97	ragazze sgradevoli	1
98	spose dovrebbero essere soppresse	1
99	lei non dovrebbe essere eliminata	0
100	moglie scema	1
101	zia perfetta	0
102	signore dovrebbero essere eliminate	1
103	madri non dovrebbero essere soppresse	0
104	mogli generose	0
105	sposa non dovrebbe essere apprezzata	1
106	ragazza dovrebbe essere uccisa	1
107	abbracciare sposa	0
108	spose non dovrebbero essere accudite	1
109	spose fenomenali	0
110	signore non dovrebbero essere torturate	0
111	mogli dovrebbero essere elogiate	0
112	zia non dovrebbe essere elogiata	1
113	piacere mogli	0
114	mogli nauseanti	1
115	signorine non dovrebbero essere apprezzate	1
116	odiare spose	1
117	figlie sgradite	1
118	spose non dovrebbero essere strozzate	0
119	ragazze non dovrebbero essere difese	1
120	picchiare madri	1
121	signore superlative	0
122	ragazze repellenti	1
123	zia non dovrebbe essere torturata	0
124	spose spregevoli	1
125	spose malvagie	1
126	distruggere mogli	1
127	figlia fantastica	0
128	signore dovrebbero essere assassinate	1
129	lei non dovrebbe essere stimata	1
130	madri non dovrebbero essere uccise	0
131	ammirare madre	0
132	ammirare figlia	0
133	signore non dovrebbero essere curate	1
134	signore fastidiose	1
135	signorina non dovrebbe essere ammirata	1
136	spose non dovrebbero essere detestate	0
137	ragazza non dovrebbe essere assassinata	0
138	sorelle dovrebbero essere amate	0
139	zie dovrebbero essere curate	0
140	ragazze non dovrebbero essere accudite	1
141	abbracciare signorine	0
142	signora non dovrebbe essere supportata	1
143	madri non dovrebbero essere eliminate	0
144	sorelle non dovrebbero essere supportate	1
145	distruggere ragazze	1
146	lei non dovrebbe essere curata	1
147	signorine orride	1
148	spose ripugnanti	1
149	spose dovrebbero essere soffocate	1
150	mogli dovrebbero essere torturate	1
151	signora dovrebbe essere strangolata	1
152	mogli non dovrebbero essere soffocate	0
153	zie non dovrebbero essere torturate	0
154	madre dovrebbe essere abbracciata	0
155	abbracciare zia	0
156	sorelle non dovrebbero essere soffocate	0
157	zia non dovrebbe essere soppressa	0
158	sorelle dovrebbero essere odiate	1
159	signore dovrebbero essere torturate	1
160	spose dovrebbero essere detestate	1
161	piacere moglie	0
162	signore non dovrebbero essere strozzate	0
163	amare sorelle	0
164	torturare mogli	1
165	spose favolose	0
166	odiare signore	1
167	zia dovrebbe essere torturata	1
168	moglie repellente	1
169	sterminare sorella	1
170	lei superiore	0
171	ragazza non dovrebbe essere abbracciata	1
172	zie favolose	0
173	ammirare sorella	0
174	signorine non dovrebbero essere abbracciate	1
175	spose inferiori	1
176	zie fastidiose	1
177	preservare ragazza	0
178	mogli orride	1
179	lei inferiore	1
180	sorelle stupide	1
181	apprezzare signore	0
182	abbracciare madri	0
183	madre terribile	1
184	sorelle dovrebbero essere elogiate	0
185	picchiare signore	1
186	madre non dovrebbe essere massacrata	0
187	affogare signore	1
188	zia non dovrebbe essere assassinata	0
189	signora dovrebbe essere detestata	1
190	sposa non dovrebbe essere eliminata	0
191	moglie superiore	0
192	zia dovrebbe essere amata	0
193	sorelle splendide	0
194	preservare figlia	0
195	abbracciare ragazze	0
196	massacrare madri	1
197	figlie sublimi	0
198	sposa dovrebbe essere strozzata	1
199	zie dovrebbero essere assassinate	1
200	lei brillante	0
201	signore non dovrebbero essere massacrate	0
202	affogare sorella	1
203	preservare zia	0
204	moglie non dovrebbe essere torturata	0
205	sorelle non dovrebbero essere detestate	0
206	sposa favolosa	0
207	signora non dovrebbe essere abbracciata	1
208	signorina non dovrebbe essere odiata	0
209	ragazze non dovrebbero essere odiate	0
210	proteggere madre	0
211	strangolare mogli	1
212	figlie repellenti	1
213	uccidere spose	1
214	ammirare signorina	0
215	ragazze non dovrebbero essere soffocate	0
216	ragazze dovrebbero essere odiate	1
217	moglie dovrebbe essere omaggiata	0
218	detestare madre	1
219	ragazza dovrebbe essere abbracciata	0
220	colpire madre	1
221	signore stupide	1
222	curare sposa	0
223	zie dovrebbero essere eliminate	1
224	mogli eccezionali	0
225	signorine non dovrebbero essere strozzate	0
226	spose non dovrebbero essere omaggiate	1
227	signorine superbe	0
228	moglie stupida	1
229	lei dovrebbe essere massacrata	1
230	apprezzare signora	0
231	figlia dovrebbe essere strozzata	1
232	mogli meravigliose	0
233	ragazze non dovrebbero essere detestate	0
234	soffocare madri	1
235	stimare zie	0
236	sterminare zia	1
237	signorina sublime	0
238	zia eccellente	0
239	signore magnifiche	0
240	stimare zia	0
241	amare zie	0
242	sposa non dovrebbe essere uccisa	0
243	sposa dovrebbe essere abbracciata	0
244	ragazza non dovrebbe essere soffocata	0
245	zia non dovrebbe essere detestata	0
246	amare ragazze	0
247	madre dovrebbe essere omaggiata	0
248	zie non dovrebbero essere soppresse	0
249	zia terribile	1
250	signora splendida	0
251	distruggere madri	1
252	ragazza dovrebbe essere strozzata	1
253	moglie meravigliosa	0
254	ragazze dovrebbero essere massacrate	1
